0,47
1,44
2,36
3,43
4,37
5,14
6,35
7,32
8,45
9,34
10,15
11,40
12,42
13,41
14,33
15,38
16,28
17,28
18,27
19,27
20,26
21,26
22,23
23,23
24,28
25,28
26,27
27,27
28,26
29,26
30,23
31,23
32,21
33,21
34,21
35,21
36,24
37,24
38,24
39,24
40,16
41,16
42,16
43,16
44,30
45,30
46,30
47,30
48,1
49,1
50,1
51,1
52,3
53,3
54,3
55,3
56,1
57,1
58,1
59,1
60,3
61,3
62,3
63,3
64,29
65,19
66,29
67,19
68,29
69,19
70,29
71,19
72,18
73,22
74,18
75,22
76,18
77,22
78,18
79,22
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,7
89,7
90,7
91,7
92,7
93,7
94,7
95,7
96,9
97,9
98,9
99,9
100,9
101,9
102,9
103,9
104,11
105,11
106,11
107,11
108,11
109,11
110,11
111,11
112,13
113,13
114,13
115,13
116,13
117,13
118,13
119,13
120,13
121,13
122,13
123,13
124,13
125,13
126,13
127,13
128,20
129,17
130,25
131,31
132,20
133,17
134,25
135,31
136,20
137,17
138,25
139,31
140,20
141,17
142,25
143,31
144,0
145,0
146,2
147,2
148,0
149,0
150,2
151,2
152,0
153,0
154,2
155,2
156,0
157,0
158,2
159,2
160,6
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,6
169,6
170,6
171,6
172,6
173,6
174,6
175,6
176,5
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,8
193,10
194,8
195,10
196,8
197,10
198,8
199,10
200,8
201,10
202,8
203,10
204,8
205,10
206,8
207,10
208,12
209,12
210,12
211,12
212,12
213,12
214,12
215,12
216,12
217,12
218,12
219,12
220,12
221,12
222,12
223,12
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,46
241,46
242,46
243,46
244,46
245,46
246,46
247,46
248,46
249,46
250,46
251,46
252,46
253,46
254,46
255,46
